buchstabe	{'06828818-n'}
anführer	{'09623038-n'}
muslim	{'09682291-n'}
letter	{'06828818-n', '06624161-n'}
baumwolle	{'12175949-n'}
spaniel	{'02101108-n'}
geophysik	{'06117562-n'}
sauerstoffmangel	{'14043882-n', '14043243-n'}
türen	{'03221720-n'}
zutritt	{'03290771-n'}
fall	{'00092293-v', '02977619-n', '09898892-n', '01182654-n'}
eingang	{'03290771-n'}
schwelle	{'03223686-n'}
verführung	{'00160415-n'}
dolch	{'03158885-n'}
disaccharid	{'14836642-n'}
mineral	{'14662574-n'}
sewastopol	{'09017168-n'}
jalta	{'09017301-n'}
klasse	{'07974025-n', '08103777-n'}
bourgeois	{'09869830-n'}
leichnam	{'05217859-n'}
feinstrumpfhose	{'03885904-n'}
strümpfe	{'03540267-n'}
dublin	{'08889191-n'}
becken	{'03982060-n', '03157348-n', '04388743-n', '09397391-n', '02801525-n'}
chrysantheme	{'11951271-n'}
blume	{'11669921-n'}
entzündung	{'14336539-n'}
metall	{'14625458-n', '14586769-n'}
herrscher	{'10541229-n'}
synthese	{'13565379-n'}
stockrose	{'12173664-n'}
kaffee	{'07929351-n', '07929519-n', '12662772-n', '04972451-n'}
mütze	{'02954340-n'}
paläobiologie	{'06078724-n'}
index	{'06639674-n', '05567381-n'}
syzygium	{'12339319-n'}
rotschenkel	{'02028035-n'}
grünschenkel	{'02027897-n'}
tempo	{'15283097-n'}
örtlich	{'03681148-n'}
lautsprecher	{'03691459-n'}
dollar	{'13391967-n', '13395897-n'}
selbst	{'09604981-n', '05675601-n'}
thema	{'05996646-n', '06409752-n', '10668666-n'}
leben	{'10260706-n', '06515827-n', '15140405-n'}
formen	{'07092356-n', '03780392-n', '05930736-n', '06290637-n', '08111157-n', '01659248-v', '05217168-n'}
mensch	{'02472987-n', '10289039-n'}
organismus	{'00004475-n'}
verhältnis	{'13819207-n'}
gingivitis	{'14081216-n'}
gericht	{'02501278-v', '07557434-n', '08329453-n'}
tal	{'09289596-n', '09468604-n', '09262690-n'}
schlucht	{'09233446-n', '09405787-n', '09290444-n'}
narbenbildung	{'14363913-n'}
noten	{'07020895-n'}
megalith	{'03743016-n'}
tag	{'15164957-n', '15157225-n', '15123115-n'}
uhr	{'15228378-n', '03046257-n', '15227846-n', '04437953-n'}
tageszeit	{'15164957-n'}
mittag	{'15165490-n'}
tageslicht	{'15164957-n'}
zeitpunkt	{'02713184-v', '15159583-n', '08620061-n', '15246853-n'}
nacht	{'15167027-n'}
vorabend	{'15156424-n'}
heute	{'15156001-n'}
gestern	{'15156187-n'}
morgen	{'15155891-n', '06632671-n'}
